"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Benson Health","NC","Healthcare Provider","28913","07/15/2022","Hacking/IT Incident","Network Server","No",""
"Washington University School of Medicine","MO","Healthcare Provider","1056","07/14/2022","Hacking/IT Incident","Network Server","No",""
"Family Practice Center PC","PA","Healthcare Provider","83969","07/11/2022","Hacking/IT Incident","Network Server","No",""
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ","VA","Business Associate","878","07/08/2022","Hacking/IT Incident","Network Server","Yes",""
"Cornerstone Services","IL","Healthcare Provider","2513","07/08/2022","Hacking/IT Incident","Network Server","No",""
"Wisconsin Department of Health Services","WI","Health Plan","1698","07/08/2022","Hacking/IT Incident","Network Server","Yes",""
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ","VA","Business Associate","1089","07/08/2022","Hacking/IT Incident","Network Server","Yes",""
"Southwest Health Center","WI","Healthcare Provider","46142","07/05/2022","Hacking/IT Incident","Network Server","No",""
"Cheyenne Regional Medical Center ","WY","Healthcare Provider","1652","07/05/2022","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record","No",""
"Carolina Behavioral Health Alliance, LLC","NC","Business Associate","130922","07/01/2022","Hacking/IT Incident","Network Server","Yes",""
"CHRISTUS Spohn Health System Corporation","TX","Healthcare Provider","15062","07/01/2022","Hacking/IT Incident","Network Server","No",""
"Professional Finance Company, Inc.","CO","Business Associate","1918941","07/01/2022","Hacking/IT Incident","Network Server","Yes",""
"Michigan Avenue Immediate Care","IL","Healthcare Provider","144104","06/30/2022","Hacking/IT Incident","Network Server","No",""
"OrthoWest, PC","NE","Healthcare Provider","1369","06/30/2022","Hacking/IT Incident","Email","No",""
"dormant see master file 489659_ Benefit Plan Administrators, Inc.","VA","Business Associate","628","06/30/2022","Hacking/IT Incident","Network Server","Yes",""
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ","VA","Business Associate","1145","06/29/2022","Hacking/IT Incident","Network Server","Yes",""
"Mattax Neu Prater Eye Center, Inc.","MO","Healthcare Provider","92361","06/28/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ","VA","Business Associate","735","06/27/2022","Hacking/IT Incident","Network Server","Yes",""
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ","VA","Business Associate","1267","06/27/2022","Hacking/IT Incident","Network Server","Yes",""
"Hudson Regional Hospital","NJ","Healthcare Provider","1300","06/22/2022","Hacking/IT Incident","Network Server","Yes",""
"Winslow Memorial Hospital d/b/a Little Colorado Medical Center","AZ","Healthcare Provider","1000","06/21/2022","Hacking/IT Incident","Network Server","No",""
"ARC Industries Inc. of Franklin County","OH","Healthcare Provider","22011","06/17/2022","Hacking/IT Incident","Network Server","No",""
"Help at Home ","IL","Healthcare Provider","800","06/17/2022","Improper Disposal","Paper/Films","No",""
"Tosoh America, Inc.","OH","Health Plan","880","06/17/2022","Hacking/IT Incident","Email","No",""
"City of Cincinnati Health Plan","OH","Health Plan","9769","06/16/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Liberty Healthcare Group ","NC","Healthcare Provider","2191","06/16/2022","Hacking/IT Incident","Email","No",""
"Mason Tenders’ District Council Welfare Fund","NY","Health Plan","13344","06/16/2022","Hacking/IT Incident","Network Server","No",""
"Baptist Medical Center","TX","Healthcare Provider","1608549","06/15/2022","Hacking/IT Incident","Network Server","No",""
"Resolute Health Hospital","TX","Healthcare Provider","54239","06/15/2022","Hacking/IT Incident","Network Server","No",""
"DialAmerica Marketing, Inc.","NJ","Business Associate","19796","06/12/2022","Hacking/IT Incident","Network Server","Yes",""
"MCG Health, LLC","WA","Business Associate","793283","06/10/2022","Hacking/IT Incident","Network Server","Yes",""
"Bayshore Brightwaters Rescue Ambulance, Inc.","NY","Healthcare Provider","500","06/10/2022","Hacking/IT Incident","Email","No",""
"Yuma Regional Medical Center","AZ","Healthcare Provider","783145","06/09/2022","Hacking/IT Incident","Network Server","No",""
"90 Degree Benefits, Inc.","WI","Business Associate","172450","06/09/2022","Hacking/IT Incident","Network Server","Yes",""
"Christiana Spine Center, PA","DE","Healthcare Provider","3500","06/09/2022","Hacking/IT Incident","Network Server","No",""
"Southern Ohio Medical Center","OH","Healthcare Provider","1333","06/08/2022","Hacking/IT Incident","Network Server","Yes",""
"Atrium Health at Home","NC","Healthcare Provider","6695","06/07/2022","Hacking/IT Incident","Email","No",""
"Memorial Community Health, Inc.","NE","Healthcare Provider","1658","06/06/2022","Hacking/IT Incident","Network Server","No",""
"Virginia Mason Medical Center ","WA","Healthcare Provider","1523","05/31/2022","Hacking/IT Incident","Network Server","No",""
"Shields Health Care Group, Inc.","MA","Business Associate","2000000","05/27/2022","Hacking/IT Incident","Network Server","Yes",""
"University of Chicago Medical Center","IL","Healthcare Provider","2568","05/27/2022","Hacking/IT Incident","Email","No",""
"BJC Health System","MO","Business Associate","500","05/27/2022","Hacking/IT Incident","Email","Yes",""
"NLB Corporation","MI","Health Plan","1943","05/26/2022","Hacking/IT Incident","Network Server","No",""
"Comstar, LLC","MA","Business Associate","68957","05/26/2022","Hacking/IT Incident","Network Server","Yes",""
"Fred Hutchinson Cancer Center","WA","Healthcare Provider","500","05/25/2022","Hacking/IT Incident","Email","No",""
"Moyes Eye Center, PC","MO","Healthcare Provider","38000","05/25/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Family Health Care, Inc","KS","Healthcare Provider","33619","05/24/2022","Hacking/IT Incident","Network Server","No",""
"Val Verde Regional Medical Center (“VVRMC”) ","TX","Healthcare Provider","86562","05/24/2022","Hacking/IT Incident","Network Server","No",""
"Allwell Behavioral Health Services","OH","Healthcare Provider","29972","05/23/2022","Hacking/IT Incident","Network Server","No",""
"Washington University School of Medicine","MO","Health Plan","500","05/23/2022","Hacking/IT Incident","Email","No",""
"Alameda Health System","CA","Healthcare Provider","90000","05/20/2022","Hacking/IT Incident","Email","No",""
"Partnership HealthPlan of California","CA","Health Plan","854913","05/18/2022","Hacking/IT Incident","Network Server","No",""
"Bryan County Ambulance Authority","OK","Healthcare Provider","14273","05/18/2022","Hacking/IT Incident","Network Server","No",""
"Northern Rockies Orthopaedics","MT","Healthcare Provider","6701","05/17/2022","Hacking/IT Incident","Email","No",""
"Apria Healthcare LLC","IN","Healthcare Provider","1868831","05/16/2022","Hacking/IT Incident","Email, Network Server","No",""
"Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division","MD","Health Plan","2008","05/13/2022","Hacking/IT Incident","Network Server","No",""
"Parker-Hannifin Corporation Group Health Plans","OH","Health Plan","119513","05/13/2022","Hacking/IT Incident","Network Server","No",""
"Schneck Medical Center ","IN","Healthcare Provider","92311","05/13/2022","Hacking/IT Incident","Network Server","No",""
"Genetics & IVF Institute ","VA","Healthcare Provider","606","05/11/2022","Hacking/IT Incident","Network Server","No",""
"McKenzie Health System","MI","Healthcare Provider","25318","05/10/2022","Hacking/IT Incident","Network Server","No",""
"NuLife Med, LLC","NH","Healthcare Provider","81244","05/09/2022","Hacking/IT Incident","Network Server","No",""
"Mindpath Care Centers, North Carolina, PLLC ","NC","Healthcare Provider","1781","05/06/2022","Hacking/IT Incident","Email","No",""
"CareSource, Inc","OH","Health Plan","959","05/06/2022","Unauthorized Access/Disclosure","Laptop","Yes",""
"Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy","OH","Healthcare Provider","1720","05/06/2022","Unauthorized Access/Disclosure","Email","No",""
"Optum, Inc. ","MN","Business Associate","1584","05/06/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"SAC Health System","CA","Healthcare Provider","149940","05/05/2022","Theft","Paper/Films","No",""
"Greater Nashua Mental Health","NH","Healthcare Provider","1085","05/04/2022","Hacking/IT Incident","Network Server","No",""
"Ad Astra Eye LLC","KS","Healthcare Provider","3684","04/29/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Refuah Health Center","NY","Healthcare Provider","260740","04/29/2022","Hacking/IT Incident","Network Server","No",""
"Frank Eye Center, P.A.","KS","Healthcare Provider","26333","04/29/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin","NE","Healthcare Provider","14984","04/29/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Northern Eye Care Associates, P.C.","MI","Healthcare Provider","8000","04/28/2022","Hacking/IT Incident","Network Server","Yes",""
"Affiliated Eye Surgeons","MI","Healthcare Provider","23400","04/28/2022","Hacking/IT Incident","Network Server","No",""
"Allied Eye Physicians and Surgeons, Inc.","OH","Healthcare Provider","20651","04/27/2022","Hacking/IT Incident","Network Server","Yes",""
"Southern Ohio Medical Center","OH","Healthcare Provider","15136","04/26/2022","Hacking/IT Incident","Network Server","No",""
"Montefiore Medical Center ","NY","Healthcare Provider","3717","04/22/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"The Mental Health Center of Greater Manchester","NH","Healthcare Provider","1322","04/22/2022","Hacking/IT Incident","Network Server","Yes",""
"Illinois Gastroenterology Group, PLLC","IL","Healthcare Provider","227943","04/22/2022","Hacking/IT Incident","Network Server","No",""
"Homestead Bldg Sys,Inc.Health  Plan","VA","Health Plan","727","04/21/2022","Hacking/IT Incident","Network Server","No",""
"The Energy Cooperative Group Benefits Plan","OH","Health Plan","875","04/21/2022","Hacking/IT Incident","Network Server","No",""
"Wayne Family Practice Associates, PC","GA","Healthcare Provider","5944","04/19/2022","Hacking/IT Incident","Network Server","No",""
"Fairfield County Implants and Periodontics, LLC","CT","Healthcare Provider","10502","04/19/2022","Hacking/IT Incident","Email","No",""
"Optima Dermatology Holdings, LLC","NH","Healthcare Provider","59872","04/18/2022","Hacking/IT Incident","Email","No",""
"New Creation Counseling Center ","OH","Healthcare Provider","24029","04/14/2022","Hacking/IT Incident","Network Server, Other","No",""
"Newman Regional Health","KS","Healthcare Provider","52224","04/14/2022","Hacking/IT Incident","Email","No",""
"Onehome Health Solutions","FL","Healthcare Provider","15401","04/13/2022","Theft","Laptop","No",""
"Adaptive Health Integrations","ND","Healthcare Provider","510574","04/11/2022","Hacking/IT Incident","Network Server","No",""
"The MetroHealth System","OH","Healthcare Provider","1748","04/11/2022","Unauthorized Access/Disclosure","Electronic Medical Record, Email, Paper/Films","No",""
"East Tennessee Children's Hospital","TN","Healthcare Provider","501","04/07/2022","Hacking/IT Incident","Network Server","No",""
"SummaCare Inc","OH","Health Plan","716","04/07/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Advantage Benefits Group","MI","Business Associate","7147","04/06/2022","Hacking/IT Incident","Email","Yes",""
"Law Enforcement Health Benefits, Inc.","PA","Health Plan","85282","03/28/2022","Hacking/IT Incident","Network Server","No",""
"Medical Surgical Eye Care","KS","Healthcare Provider","2000","03/28/2022","Hacking/IT Incident","Network Server","No",""
"Lutheran Social Services of Illinois","IL","Healthcare Provider","1000","03/25/2022","Hacking/IT Incident","Network Server","No",""
"Christie Business Holdings Company, P.C.","IL","Healthcare Provider","502869","03/25/2022","Hacking/IT Incident","Email","No",""
"Advanced Medical Practice Management","NJ","Business Associate","56427","03/23/2022","Hacking/IT Incident","Network Server","Yes",""
"Thomas Allen, Inc.","MN","Healthcare Provider","2803","03/23/2022","Hacking/IT Incident","Email","No",""
"Taylor Regional Hospital ","KY","Healthcare Provider","190209","03/21/2022","Hacking/IT Incident","Network Server","No",""
"Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers","CA","Healthcare Provider","34775","03/21/2022","Hacking/IT Incident","Network Server","No",""
"Cancer and Hematology Centers of Western Michigan ","MI","Healthcare Provider","43071","03/18/2022","Hacking/IT Incident","Network Server","No",""
"Central Minnesota Mental Health Center","MN","Healthcare Provider","28725","03/17/2022","Hacking/IT Incident","Email","No",""
"Laboratorio Clinico Toledo","","Healthcare Provider","500","03/14/2022","Hacking/IT Incident","Network Server","No",""
"Trinity Home Care, Inc.","MA","Healthcare Provider","1541","03/14/2022","Hacking/IT Incident","Network Server","No",""
"Capital Region Medical Center","MO","Healthcare Provider","17578","03/11/2022","Hacking/IT Incident","Network Server","No",""
"Labette Health","KS","Healthcare Provider","85635","03/11/2022","Hacking/IT Incident","Network Server","No",""
"New Jersey Brain and Spine","NJ","Healthcare Provider","92453","03/10/2022","Hacking/IT Incident","Network Server","No",""
"Central Indiana Orthopedics","IN","Healthcare Provider","83705","03/07/2022","Hacking/IT Incident","Network Server","No",""
"South Denver Cardiology Associates, PC","CO","Healthcare Provider","287652","03/04/2022","Hacking/IT Incident","Network Server","No",""
"Indiana Hemophilia and Thrombosis Center, Inc.","IN","Healthcare Provider","2575","03/04/2022","Hacking/IT Incident","Email","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","2921","03/03/2022","Hacking/IT Incident","Email","No",""
"Molecular Pathology Laboratory Network, Inc.","TN","Healthcare Provider","339471","03/03/2022","Hacking/IT Incident","Network Server","No",""
"Crossroads Health","OH","Healthcare Provider","10324","03/02/2022","Hacking/IT Incident","Network Server","No",""
"LGAA, LLC","UT","Health Plan","864","03/01/2022","Hacking/IT Incident","Network Server","No",""
"UMass Memorial Health, Inc.","MA","Business Associate","4270","02/28/2022","Hacking/IT Incident","Email","Yes",""
"Bako Diagnostics","GA","Healthcare Provider","25745","02/25/2022","Hacking/IT Incident","Network Server","No",""
"Alliance Physical Therapy Group, LLC","MI","Business Associate","197588","02/23/2022","Hacking/IT Incident","Network Server","Yes",""
"Community Association of Progressive Dominicans, Inc. ","NY","Healthcare Provider","656","02/23/2022","Hacking/IT Incident","Email","No",""
"Zoe Therapy Services  ","VA","Healthcare Provider","1100","02/23/2022","Hacking/IT Incident","Email","No",""
"Logan Health Medical Center","MT","Healthcare Provider","213543","02/22/2022","Hacking/IT Incident","Network Server","No",""
"Ascension Michigan (single affiliated covered entity) ACE","MI","Healthcare Provider","27177","02/22/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Memorial village er","TX","Healthcare Provider","80000","02/19/2022","Hacking/IT Incident","Network Server","No",""
"US Radiology Specialists, Inc.","NC","Business Associate","87552","02/18/2022","Hacking/IT Incident","Network Server","Yes",""
"Cooper University Health Care","NJ","Healthcare Provider","1039","02/14/2022","Hacking/IT Incident","Email","No",""
"Family Fare LLC","MI","Healthcare Provider","3892","02/11/2022","Hacking/IT Incident","Network Server","Yes",""
"CVS Pharmacy","RI","Healthcare Provider","6221","02/11/2022","Hacking/IT Incident","Network Server","No",""
"Jacksonville Spine Center, P.A.","FL","Healthcare Provider","38000","02/10/2022","Hacking/IT Incident","Network Server","No",""
"Seneca Nation Health System","NY","Healthcare Provider","12000","02/08/2022","Hacking/IT Incident","Network Server","No",""
"South Shore Hospital Corporation","IL","Healthcare Provider","115175","02/07/2022","Hacking/IT Incident","Network Server","No",""
"Cross Timbers Health Clinics, Inc/ d/b/a AccelHealth","TX","Healthcare Provider","48126","02/07/2022","Hacking/IT Incident","Network Server","No",""
"Morley Companies, Inc.","MI","Business Associate","521046","02/01/2022","Hacking/IT Incident","Network Server","Yes",""
"Family Christian Health Center","IL","Healthcare Provider","31000","01/28/2022","Hacking/IT Incident","Network Server","No",""
"Spencer Gifts LLC Health and Welfare Benefit Plan","NJ","Health Plan","10023","01/24/2022","Hacking/IT Incident","Network Server","No",""
"Medical Healthcare Solutions, Inc. ","MA","Business Associate","133997","01/22/2022","Hacking/IT Incident","Network Server","Yes",""
"Walgreen Co.","IL","Healthcare Provider","1471","01/21/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"University of Arkansas for Medical Sciences ","AR","Healthcare Provider","518","01/21/2022","Unauthorized Access/Disclosure","Email","No",""
"Advocates, Inc.","MA","Healthcare Provider","68236","01/21/2022","Hacking/IT Incident","Network Server","No",""
"Raveco Medical","NY","Healthcare Provider","4897","01/17/2022","Hacking/IT Incident","Network Server","No",""
"Vantage Holding Company, LLC","PA","Healthcare Provider","1762","01/14/2022","Hacking/IT Incident","Network Server","No",""
"Digital Insurance, LLC doing business as OneDigital","GA","Business Associate","2051","01/14/2022","Hacking/IT Incident","Network Server","Yes",""
"Oscar Insurance Corporation of Ohio","OH","Health Plan","504","01/13/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"Oscar Health Plan of California","NJ","Health Plan","7632","01/13/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"Oscar Buckeye State Insurance Corporation","OH","Health Plan","791","01/13/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"Lakeshore Bone & Joint Institute, PC","IN","Healthcare Provider","23627","01/10/2022","Hacking/IT Incident","Email","No",""
"Advent Health Partners, Inc.","TN","Business Associate","1383","01/06/2022","Hacking/IT Incident","Email","Yes",""
"Ravkoo","FL","Healthcare Provider","105000","01/03/2022","Hacking/IT Incident","Other","No",""
"Sherrill House, Inc.","MA","Healthcare Provider","5006","01/03/2022","Hacking/IT Incident","Email","No",""
"Virtual Private Network Solutions, LLC d/b/a VPN Solutions, LLC","VA","Business Associate","6400","12/30/2021","Hacking/IT Incident","Network Server","Yes",""
"Loyola University Medical Center","IL","Healthcare Provider","16934","12/30/2021","Hacking/IT Incident","Email","No",""
"Douglas C Morrow ODPC","IN","Healthcare Provider","5269","12/28/2021","Hacking/IT Incident","Network Server","No",""
"Pithadia Medical Professional Services, Inc.","IN","Healthcare Provider","1624","12/28/2021","Hacking/IT Incident","Network Server","No",""
"Advocate Aurora Health","WI","Healthcare Provider","1729","12/28/2021","Loss","Paper/Films","No",""
"Walgreen Co.","IL","Healthcare Provider","1352","12/27/2021","Loss","Paper/Films","No",""
"Fertility Centers of Illinois, PLLC","IL","Healthcare Provider","79943","12/27/2021","Hacking/IT Incident","Network Server","No",""
"C.E. Niehoff & Company ","IL","Health Plan","1509","12/23/2021","Hacking/IT Incident","Network Server","No",""
"Duneland School Corporation","IN","Health Plan","7000","12/23/2021","Hacking/IT Incident","Network Server","No",""
"Daniel J. Edelman Holdings, Inc.","IL","Health Plan","184500","12/22/2021","Hacking/IT Incident","Network Server","Yes",""
"Rhode Island Public Transit Authority","RI","Health Plan","5015","12/21/2021","Hacking/IT Incident","Network Server","No",""
"Chaddock","IL","Healthcare Provider","777","12/21/2021","Theft","Paper/Films","No",""
"Northwest Broward Orthopaedics Associates","FL","Healthcare Provider","500","12/17/2021","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Youth Consultation Service","NJ","Healthcare Provider","2756","07/19/2021","Hacking/IT Incident","Network Server","No",""
